ONS_ID,ONS_Name,rurality,pct_covered,costing,travel_limit_mins
3717,Pikwakanagan (Golden Lake 39),rural,0.8631292517006803,auto,15
3719,Whitewater Region,rural,0.12168028834027587,auto,15
3803,North Dundas,rural,0.8582636190956824,auto,15
3804,North Glengarry,rural,0.6747545991662914,auto,15
3805,North Stormont,rural,0.19266513962631907,auto,15
3806,South Dundas,rural,0.8233319552018892,auto,15
3807,South Glengarry,rural,0.473812498812954,auto,15
3808,South Stormont,rural,0.8254959925084332,auto,15
3002,ALTA VISTA,urban,0.33073485918416323,pedestrian,10
3003,BAYSHORE,urban,0.3878550957633766,pedestrian,10
3004,BEACON HILL SOUTH - CARDINAL HEIGHTS,urban,0.3084064805608833,pedestrian,10
3006,BEECHWOOD CEMETERY,urban,0,pedestrian,10
3009,BILLINGS BRIDGE - HERON PARK,urban,0.6968330431068647,pedestrian,10
3012,BORDEN FARM - FISHER GLEN,urban,0.35196283664550926,pedestrian,10
3013,BRAEMAR PARK-BELAIR HEIGHTS-COPELAND PARK,urban,0.39259261197427436,pedestrian,10
3015,BRITANNIA,urban,0.6770636714272665,pedestrian,10
3018,CARLETON HEIGHTS-COURTLAND PARK,urban,0,pedestrian,10
3019,CARLETON UNIVERSITY,urban,0,pedestrian,10
3020,CARLINGTON,urban,0.1900451476333347,pedestrian,10
3022,CARSON GROVE - CARSON MEADOWS,urban,0.0813817145833942,pedestrian,10
3023,CENTREPOINTE - BRIARGREEN,urban,0.011975000691653838,pedestrian,10
3024,CENTRETOWN,urban,0.764153310541668,pedestrian,10
3028,CITY VIEW,urban,0.35672040932885013,pedestrian,10
3029,CIVIC HOSPITAL,urban,0,pedestrian,10
3034,CRAIG HENRY - MANORDALE,urban,0.10666044900562681,pedestrian,10
3035,CRESTVIEW-TANGLEWOOD,urban,0.1878365488149142,pedestrian,10
3040,ELMVALE - CANTERBURY,urban,0.5295908982023655,pedestrian,10
3042,EXPERIMENTAL FARM,urban,0,pedestrian,10
3045,FISHER HEIGHTS,urban,0.4387916832369077,pedestrian,10
3047,GLEBE-DOWS LAKE,urban,0.6927200785779133,pedestrian,10
3054,HAWTHORN MEADOWS - SHEFFIELD GLEN,urban,0.6582667629957655,pedestrian,10
3055,HINTONBURG-MECHANICSVILLE,urban,0.02820840172654873,pedestrian,10
3058,IRIS,urban,0.04798416737348035,pedestrian,10
3059,ISLAND PARK-WELLINGTON VILLAGE,urban,0.7896609251457755,pedestrian,10
3063,LAURENTIAN,urban,0.25036249084696577,pedestrian,10
3064,LEBRETON DEVELOPMENT,urban,0,pedestrian,10
3065,LEDBURY-HERON GATE-RIDGEMONT,urban,0.48551437131020464,pedestrian,10
3066,LESLIE PARK - BRUCE FARM,urban,0,pedestrian,10
3067,LOWERTOWN EAST,urban,0.7048621155144152,pedestrian,10
3068,LOWERTOWN WEST,urban,0.5265966316491579,pedestrian,10
3069,MANOR PARK,urban,0.4210265114506721,pedestrian,10
3077,NEW EDINBURGH,urban,0.7053805309734513,pedestrian,10
3082,OLD OTTAWA EAST,urban,0.1785363537080439,pedestrian,10
3083,OLD OTTAWA SOUTH,urban,0.18911016141508033,pedestrian,10
3087,OVERBROOK,urban,0.5822480994067408,pedestrian,10
3088,PARKWOOD HILLS,urban,0.4771871185291451,pedestrian,10
3089,PINEVIEW,urban,0.06914395294950093,pedestrian,10
3090,PLAYFAIR PARK - GUILDWOOD ESTATES,urban,0.2721356358598643,pedestrian,10
3092,QUALICUM - REDWOOD,urban,0.01217313997683637,pedestrian,10
3093,QUEENSWAY TERRACE NORTH,urban,0.5592308498882893,pedestrian,10
3098,RIVERSIDE PARK - MOONEYS BAY,urban,0,pedestrian,10
3099,RIVERSIDE PARK SOUTH - REVELSTOKE,urban,0,pedestrian,10
3101,RIVERVIEW,urban,0.18044532055533374,pedestrian,10
3102,ROCKCLIFFE PARK,urban,0,pedestrian,10
3103,ROTHWELL HEIGHTS - BEACON HILL NORTH,urban,0.22585968990468236,pedestrian,10
3104,SANDY HILL,urban,0.5069439395041082,pedestrian,10
3110,TREND-ARLINGTON,urban,0.16285752485357058,pedestrian,10
3111,VANIER NORTH,urban,0.4503524693449968,pedestrian,10
3112,VANIER SOUTH,urban,0.8948697893292644,pedestrian,10
3114,WATERRIDGE VILLAGE,urban,0.058985643326619694,pedestrian,10
3115,WEST CENTRETOWN,urban,0,pedestrian,10
3116,WESTBORO,urban,0.7817714595837553,pedestrian,10
3117,WHITEHAVEN - WOODPARK - GLABAR PARK,urban,0.31848056818366205,pedestrian,10
3402,Carleton Place,town,1,auto,10
3407,Perth,town,1,auto,10
3408,Smiths Falls,town,1,auto,10
3602,Casselman,town,1,auto,10
3606,Hawkesbury,town,0.9981376878983241,auto,10
3702,Arnprior,town,0.9992359614027406,auto,10
3705,Deep River,town,0.9562544074380201,auto,10
3715,Pembroke,town,1,auto,10
3716,Petawawa,town,0.980407843750847,auto,10
3718,Renfrew,town,0.9972081014896785,auto,10
3802,Cornwall,town,1,auto,10
3001,AIRPORT,suburban,1,auto,10
3005,BEAVERBROOK,suburban,1,auto,10
3007,BELLS CORNERS EAST,suburban,1,auto,10
3008,BELLS CORNERS WEST,suburban,1,auto,10
3010,BLACKBURN HAMLET,suburban,1,auto,10
3011,BLOSSOM PARK - TIMBERMILL,suburban,1,auto,10
3014,BRIDLEWOOD - EMERALD MEADOWS,suburban,1,auto,10
3016,BROOKSIDE - BRIARBROOK - MORGANS GRANT,suburban,1,auto,10
3017,CARDINAL CREEK,suburban,1,auto,10
3025,CHAPEL HILL NORTH,suburban,1,auto,10
3026,CHAPEL HILL SOUTH,suburban,1,auto,10
3027,CHAPMAN MILLS,suburban,1,auto,10
3030,COLONNADE BUSINESS PARK,suburban,1,auto,10
3032,CONVENT GLEN - ORLEANS WOODS,suburban,1,auto,10
3036,CRYSTAL BAY - LAKEVIEW PARK,suburban,1,auto,10
3041,EMERALD WOODS - SAWMILL CREEK,suburban,1,auto,10
3043,FALLINGBROOK,suburban,1,auto,10
3044,FINDLAY CREEK,suburban,1,auto,10
3048,GLEN CAIRN,suburban,1,auto,10
3050,GREENBELT (EAST),suburban,0.9905034344724701,auto,10
3051,GREENBELT (WEST),suburban,1,auto,10
3052,GREENBORO EAST,suburban,1,auto,10
3053,GREENBORO WEST,suburban,1,auto,10
3056,HUNT CLUB PARK,suburban,1,auto,10
3057,INDUSTRIAL EAST,suburban,1,auto,10
3060,KANATA LAKES,suburban,1,auto,10
3061,KATIMAVIK-HAZELDEAN,suburban,1,auto,10
3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,suburban,1,auto,10
3079,OLD BARRHAVEN EAST,suburban,1,auto,10
3080,OLD BARRHAVEN WEST,suburban,1,auto,10
3081,OLD HUNT CLUB,suburban,1,auto,10
3084,ORLEANS INDUSTRIAL,suburban,1,auto,10
3085,ORLEANS VILLAGE - CHATEAUNEUF,suburban,1,auto,10
3091,PORTOBELLO SOUTH,suburban,1,auto,10
3094,QUEENSWOOD - CHATELAINE,suburban,1,auto,10
3095,QUEENSWOOD HEIGHTS,suburban,1,auto,10
3097,RIDEAUCREST - DAVIDSON HEIGHTS,suburban,1,auto,10
3100,RIVERSIDE SOUTH - LEITRIM,suburban,1,auto,10
3105,SOUTH KEYS,suburban,1,auto,10
3106,STITTSVILLE,suburban,0.9977154372989875,auto,10
3107,STITTSVILLE EAST,suburban,1,auto,10
3108,STITTSVILLE NORTH,suburban,1,auto,10
3109,STONEBRIDGE - HALF MOON BAY,suburban,1,auto,10
